Betreiber;Adresse;Postleitzahl Ort;Bundesland;Landkreis;Längengrad [DG];Breitengrad [DG];Inbetriebnahmedatum;Anschlussleistung [kW];Art der Ladeeinrichtung;Anzahl Ladepunkte;Steckertypen1;P1 [kW];Public Key1;Steckertypen2;P2 [kW];Public Key2;Steckertypen3;P3 [kW];Public Key3;Steckertypen4;P4 [kW];Public Key4
MVV Energie AG;Luisenring 49;68159 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,467645;49,494726;30.08.2019;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
MVV Energie AG;Q6;68161 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,472093;49,486403;01.11.2016;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
MVV Energie AG;Q6;68161 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,472093;49,486403;01.11.2016;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
MVV Energie AG;Q6;68161 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,472093;49,486403;01.11.2016;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
MVV Energie AG;Q6;68161 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,472093;49,486403;01.11.2016;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
MVV Energie AG;L 13 15;68161 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,46887;49,480818;20.12.2018;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
MVV Energie AG;Rosengartenplatz 2;68161 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,476059;49,485628;15.01.2019;73;Schnellladeeinrichtung;2;AC Kupplung Typ 2;23;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
MVV Energie AG;An der Arena 1;68163 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,518592;49,46461;25.09.2017;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
MVV Energie AG;Paul-Wittsack-Str. 6;68163 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,483;49,469772;25.04.2019;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
MVV Energie AG;Seckenheimer Landstraße 166;68163 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,520583;49,476583;20.12.2018;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
MVV Energie AG;Johannes-Hoffart-Straße 1b;68163 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,507998;49,465569;20.12.2018;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
MVV Energie AG;Coblitzallee 1-9;68163 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,5345;49,474778;28.06.2018;88;Normalladeeinrichtung;4;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;
MVV Energie AG;Theodor-Heuss-Anlage 12;68165 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,503436;49,478177;20.12.2018;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
MVV Energie AG;Am Friedenspl. 6;68165 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,493521;49,478054;28.06.2019;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
MVV Energie AG;Theodor-Kutzer-Ufer 1;68167 Mannheim;Baden-Württemberg;Stadtkreis Mannheim;8,491708;49,489758;20.12.2018;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
